from,to
Dietrich,Aufsichtsrat
Porth,Mercedes-Benz
Porth,Aufsichtsrat
Gaiser,Aufsichtsrat
Jenner,Kärcher
Jenner,Aufsichtsrat
Ohlicher,Aufsichtsrat
Reiner,Mercedes-Benz Bank
Reiner,Aufsichtsrat
Sugg,Aufsichtsrat
Heim,Vorstand
Hitzlsperger,Vorstand
Röttgermann,Vorstand
Schraft,Vorstand
Vfb,Aufsichtsrat
Vfb,Vorstand
